categorie;nom;hp;atk;def;mercyGoal;act1;act2;act3;act4
NORMAL;Froggit;30;7;1;100;COMPLIMENT;DISCUSS;-;-
NORMAL;Whimsun;25;5;1;100;JOKE;COMPLIMENT;-;-
NORMAL;Moldsmal;35;6;2;100;DANCE;PET;-;-
NORMAL;Vegetoid;40;8;2;100;DISCUSS;OFFER_SNACK;-;-
MINIBOSS;MimicBox;45;10;2;100;OBSERVE;PET;OFFER_SNACK;-
MINIBOSS;ByteKnight;55;12;3;100;REASON;JOKE;COMPLIMENT;-
MINIBOSS;GlitchCat;50;11;3;100;PET;DANCE;INSULT;-
BOSS;QueenByte;80;15;4;100;REASON;DANCE;JOKE;INSULT
BOSS;KingError;90;17;5;100;OBSERVE;REASON;THREATEN;COMPLIMENT
BOSS;SansBug;75;18;4;100;JOKE;DISCUSS;DANCE;INSULT
